t,r,r_dot,r_dot_dot,phi,phi_dot,phi_dot_dot,theta,theta_dot,theta_dot_dot,gamma,delta_phi
1.65000999999818064035E-03,2.29179684014357309962E+00,4.68269755447011369089E-04,1.41899787427795853745E-01,2.51312284502682283319E-03,7.61547322353351097135E-01,0.00000000000000000000E+00,5.23600143004548823633E-01,8.28729597358741844511E-04,2.51127646765329892720E-01,1.00002027702065587889E+00,0.00000000000000000000E+00
1.80000999999728981960E-03,2.29179698700977807491E+00,5.10839685839414143174E-04,1.41899747948069754333E-01,2.74158692594661350384E-03,7.61546539067355587882E-01,0.00000000000000000000E+00,5.23600402923787622278E-01,9.04067816650967488040E-04,2.51127141172042989137E-01,1.00002027701916684777E+00,0.00000000000000000000E+00
1.95000999999639899884E-03,2.29179714664695843851E+00,5.53409603872964043873E-04,1.41899705035327339253E-01,2.97005076166442956442E-03,7.61545687671330462365E-01,0.00000000000000000000E+00,5.23600685444469471364E-01,9.79405877670911240856E-04,2.51126591615415784009E-01,1.00002027701754836464E+00,0.00000000000000000000E+00
2.10000999999550817809E-03,2.29179731905511330226E+00,5.95979508517750105646E-04,1.41899658689571495085E-01,3.19851433174733095280E-03,7.61544768165756003064E-01,0.00000000000000000000E+00,5.23600990566543966764E-01,1.05474376722963824118E-03,2.51125998095823255163E-01,1.00002027701580042951E+00,0.00000000000000000000E+00
2.25000999999461735734E-03,2.29179750423423733707E+00,6.38549398743882071217E-04,1.41899608910807772943E-01,3.42697761576252766039E-03,7.61543780551151461289E-01,0.00000000000000000000E+00,5.23601318289957595731E-01,1.13008147213831998748E-03,2.51125360613674131205E-01,1.00002027701392304238E+00,0.00000000000000000000E+00
2.40000999999372653659E-03,2.29179770218432476980E+00,6.81119273521453095013E-04,1.41899555699041307610E-01,3.65544059327739751311E-03,7.61542724828072614685E-01,0.00000000000000000000E+00,5.23601668614653958933E-01,1.20541897920823856682E-03,2.51124679169402176271E-01,1.00002027701191598119E+00,0.00000000000000000000E+00
2.55000999999283571584E-03,2.29179791290537382409E+00,7.23689131820557957769E-04,1.41899499054276817533E-01,3.88390324385948964084E-03,7.61541600997113321547E-01,0.00000000000000000000E+00,5.23602041540571327971E-01,1.28075627525083262509E-03,2.51123953763473517498E-01,1.00002027700977946800E+00,0.00000000000000000000E+00
2.70000999999194489509E-03,2.29179813639737561815E+00,7.66258972611301631718E-04,1.41899438976521019562E-01,4.11236554707651493640E-03,7.61540409058910294782E-01,0.00000000000000000000E+00,5.23602437067643977642E-01,1.35609334707768153759E-03,2.51123184396386145423E-01,1.00002027700751372485E+00,0.00000000000000000000E+00
2.85000999999105407434E-03,2.29179837266032881971E+00,8.08828794863791799598E-04,1.41899375465778743166E-01,4.34082748249641457716E-03,7.61539149014131777626E-01,0.00000000000000000000E+00,5.23602855195803185140E-01,1.43143018150050584276E-03,2.51122371068663363669E-01,1.00002027700511830766E+00,0.00000000000000000000E+00
3.00000999999016325359E-03,2.29179862169422543516E+00,8.51398597548126603168E-04,1.41899308522057204796E-01,4.56928902968738517854E-03,7.61537820863523950976E-01,0.00000000000000000000E+00,5.23603295924962686136E-01,1.50676676533122817433E-03,2.51121513780882710254E-01,1.00002027700259343845E+00,0.00000000000000000000E+00
3.15000999998927243284E-03,2.29179888349905924727E+00,8.93968379634414484110E-04,1.41899238145363287833E-01,4.79775016821767062714E-03,7.61536424607768047679E-01,0.00000000000000000000E+00,5.23603759255070966283E-01,1.58210308538188760934E-03,2.51120612533592302285E-01,1.00002027699993911725E+00,0.00000000000000000000E+00
3.30000999998838161209E-03,2.29179915807482581513E+00,9.36538140092768329331E-04,1.41899164335703487083E-01,5.02621087765592593904E-03,7.61534960247685854817E-01,0.00000000000000000000E+00,5.23604245186033434578E-01,1.65743912846472358537E-03,2.51119667327428019998E-01,1.00002027699715534403E+00,0.00000000000000000000E+00
3.45000999998749079134E-03,2.29179944542151492470E+00,9.79107877893296797353E-04,1.41899087093086601064E-01,5.25467113757093883669E-03,7.61533427784104266500E-01,0.00000000000000000000E+00,5.23604753717765158960E-01,1.73277488139217199746E-03,2.51118678163037511997E-01,1.00002027699424189677E+00,0.00000000000000000000E+00
3.60000999998659997059E-03,2.29179974553912479962E+00,1.02167759200611852136E-03,1.41899006417518430689E-01,5.48313092753180929273E-03,7.61531827217881374104E-01,0.00000000000000000000E+00,5.23605284850177987721E-01,1.80811033097688688212E-03,2.51117645041094073033E-01,1.00002027699119944160E+00,0.00000000000000000000E+00
3.75000999998570914984E-03,2.29180005842764344948E+00,1.06424728140133901567E-03,1.41898922309009023479E-01,5.71159022710784978344E-03,7.61530158549923674727E-01,0.00000000000000000000E+00,5.23605838583178773149E-01,1.88344546403168859247E-03,2.51116567962306302952E-01,1.00002027698802709033E+00,0.00000000000000000000E+00
3.90000999998481832909E-03,2.29180038408706510111E+00,1.10681694504908417764E-03,1.41898834767565901194E-01,5.94004901586871539299E-03,7.61528421781170195004E-01,0.00000000000000000000E+00,5.23606414916670370729E-01,1.95878026736964272816E-03,2.51115446927410446154E-01,1.00002027698472528705E+00,0.00000000000000000000E+00
4.05000999998392750834E-03,2.29180072251738264910E+00,1.14938658191947708567E-03,1.41898743793198306440E-01,6.16850727338426243346E-03,7.61526616912601039822E-01,0.00000000000000000000E+00,5.23607013850551639145E-01,2.03411472780402544092E-03,2.51114281937173888792E-01,1.00002027698129403177E+00,0.00000000000000000000E+00
4.20000999998303668759E-03,2.29180107371858543530E+00,1.19195619098264103501E-03,1.41898649385915648358E-01,6.39696497922477048947E-03,7.61524743945234505738E-01,0.00000000000000000000E+00,5.23607635384717884364E-01,2.10944883214834923851E-03,2.51113072992393215888E-01,1.00002027697773332449E+00,0.00000000000000000000E+00
4.35000999998214586684E-03,2.29180143769066813064E+00,1.23452577120870105563E-03,1.41898551545726864243E-01,6.62542211296072644511E-03,7.61522802880123750313E-01,0.00000000000000000000E+00,5.23608279519060415552E-01,2.18478256721639074039E-03,2.51111820093894821948E-01,1.00002027697404338724E+00,0.00000000000000000000E+00
4.50000999998125504609E-03,2.29180181443361830063E+00,1.27709532156778846589E-03,1.41898450272642917547E-01,6.85387865416296499649E-03,7.61520793718364563674E-01,0.00000000000000000000E+00,5.23608946253466767118E-01,2.26011591982214123803E-03,2.51110523242536742838E-01,1.00002027697022377595E+00,0.00000000000000000000E+00
4.65000999998036422534E-03,2.29180220394743461299E+00,1.31966484103003111467E-03,1.41898345566671746365E-01,7.08233458240263222261E-03,7.61518716461085709568E-01,0.00000000000000000000E+00,5.23609635587819699509E-01,2.33544887677989213004E-03,2.51109182439202494042E-01,1.00002027696627449060E+00,0.00000000000000000000E+00
4.80000999997947340459E-03,2.29180260623210152460E+00,1.36223432856557268023E-03,1.41898237427825812951E-01,7.31078987725128793401E-03,7.61516571109462470091E-01,0.00000000000000000000E+00,5.23610347521998642506E-01,2.41078142490418504892E-03,2.51107797684812505956E-01,1.00002027696219597530E+00,0.00000000000000000000E+00
4.95000999997858258383E-03,2.29180302128760482461E+00,1.40480378314454383039E-03,1.41898125856117274246E-01,7.53924451828079725257E-03,7.61514357664704988338E-01,0.00000000000000000000E+00,5.23611082055879251129E-01,2.48611355100984221869E-03,2.51106368980314742512E-01,1.00002027695798800799E+00,0.00000000000000000000E+00
